CWI_ID,TCMBank_ID,Gene_name,Gene_alias,Description,Map_location,Gene_Type,TTD_gene_type
CWITA013707,TCMBANKGE013707,IRAK1BP1,AIP70; SIMPL,interleukin 1 receptor associated kinase 1 binding protein 1,6q14.1,protein-coding,/
CWITA013708,TCMBANKGE013708,SNN,-,stannin,16p13.13,protein-coding,/
CWITA013709,TCMBANKGE013709,KIAA1586,-,KIAA1586,6p12.1,protein-coding,/
CWITA013710,TCMBANKGE013710,DPYSL5,CRAM; CRMP-5; CRMP5; CV2; Ulip6,dihydropyrimidinase like 5,2p23.3,protein-coding,/
CWITA013711,TCMBANKGE013711,RHBDL1,RHBDL; RRP,rhomboid like 1,16p13.3,protein-coding,/
CWITA013712,TCMBANKGE013712,MPO,N,myeloperoxidase,17q23.1,protein-coding,
CWITA013713,TCMBANKGE013713,SHBG,ABP; SBP; TEBG,sex hormone binding globulin,17p13.1,protein-coding,/
CWITA013714,TCMBANKGE013714,AKT2,PKBB; PKBBETA; PRKBB; RACNBETA,v-akt murine thymoma viral oncogene homolog 2,19q13.1-q13.2,protein-coding,
CWITA013715,TCMBANKGE013715,C1orf53,-,chromosome 1 open reading frame 53,1q31.3,protein-coding,/
CWITA013716,TCMBANKGE013716,SLCO2B1,DKFZp686E0517; KIAA0880; OATPNB; OATP2B1; OATPB; SLC21A9,"solute carrier organic anion transporter family, member 2B1",11q13,protein-coding,
CWITA013717,TCMBANKGE013717,ABCB11,ABC16; BRIC2; BSEP; PFICN2; PFIC2; PGY4; SPGP,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",2q24,protein-coding,
CWITA013718,TCMBANKGE013718,ARRDC2,CLONE24945; PP2703,arrestin domain containing 2,19p13.11,protein-coding,/
CWITA013719,TCMBANKGE013719,ANKRD46,ANK-S; GENX-115279,ankyrin repeat domain 46,8q22.3,protein-coding,/
CWITA013720,TCMBANKGE013720,UBA52,CEP52; HUBCEP52; L40; RPL40,ubiquitin A-52 residue ribosomal protein fusion product 1,19p13.11,protein-coding,/
CWITA013721,TCMBANKGE013721,LRRC6,CILD19; LRTP; TSLRP; tilB,leucine rich repeat containing 6,8q24.22,protein-coding,/
CWITA013722,TCMBANKGE013722,ALKBH3,ABH3; DEPCN1; DEPC1; FLJ43614; MGC118790; MGC118792; MGC118793; PCA1,"alkB, alkylation repair homolog 3 (E. coli)",11p11.2,protein-coding,
CWITA013723,TCMBANKGE013723,MAD2L1BP,CMT2,MAD2L1 binding protein,6p21.1,protein-coding,/
CWITA013724,TCMBANKGE013724,CLCN1,CLC1,chloride voltage-gated channel 1,7q34,protein-coding,Research target
CWITA013725,TCMBANKGE013725,BICD2,SMALED2; SMALED2A; SMALED2B; bA526D8.1,BICD cargo adaptor 2,9q22.31,protein-coding,/
CWITA013726,TCMBANKGE013726,SLC12A4,CTC-479C5.17; KCC1; hKCC1,solute carrier family 12 member 4,16q22.1,protein-coding,Research target
CWITA013727,TCMBANKGE013727,HS3ST1,3OST; 3OST1,heparan sulfate (glucosamine) 3-O-sulfotransferase 1,4p16,protein-coding,
CWITA013728,TCMBANKGE013728,DCXR,DCR; HCR2; HCRII; KIDCR; P34H; PNTSU; SDR20C1; XR,dicarbonyl and L-xylulose reductase,17q25.3,protein-coding,/
CWITA013729,TCMBANKGE013729,OPN1LW,CBBM; CBP; COD5; RCP; ROP,"opsin 1, long wave sensitive",Xq28,protein-coding,/
CWITA013730,TCMBANKGE013730,STYX,-,serine/threonine/tyrosine interacting protein,14q22.1,protein-coding,/
CWITA013731,TCMBANKGE013731,KRT2,CK-2e; K2e; KRT2A; KRT2E; KRTE,keratin 2,12q13.13,protein-coding,/
CWITA013732,TCMBANKGE013732,PRSS46P,PRSS46; TESSP6,"serine protease 46, pseudogene",3p21.31,pseudo,/
CWITA013733,TCMBANKGE013733,SRP14,ALURBP,signal recognition particle 14,15q15.1,protein-coding,/
CWITA013734,TCMBANKGE013734,SORCS1,hSorCS,sortilin related VPS10 domain containing receptor 1,10q25.1,protein-coding,/
CWITA013735,TCMBANKGE013735,ADAT2,DEADC1; TAD2; dJ20N2; dJ20N2.1,adenosine deaminase tRNA specific 2,6q24.2,protein-coding,/
CWITA013736,TCMBANKGE013736,TMTC2,IBDBP1,transmembrane O-mannosyltransferase targeting cadherins 2,12q21.31,protein-coding,/
CWITA013737,TCMBANKGE013737,TCP11L2,-,t-complex 11 like 2,12q23.3,protein-coding,/
CWITA013738,TCMBANKGE013738,LTBR,D12S370; LT-BETA-R; TNF-R-III; TNFCR; TNFR-RP; TNFR2-RP; TNFR3; TNFRSF3,lymphotoxin beta receptor,12p13.31,protein-coding,Clinical Trial target
CWITA013739,TCMBANKGE013739,PRKCQ,PRKCT; nPKC-theta,protein kinase C theta,10p15.1,protein-coding,Research target
CWITA013740,TCMBANKGE013740,RAD54B,RDH54,RAD54 homolog B,8q22.1,protein-coding,/
CWITA013741,TCMBANKGE013741,NOLC1,KIAA0035; NOPP130; NOPP140; NS5ATP13; P130,nucleolar and coiled-body phosphoprotein 1,10q24.32,protein-coding,
CWITA013742,TCMBANKGE013742,CMPK2,NDK; TMPK2; TYKi; UMP-CMPK2,cytidine/uridine monophosphate kinase 2,2p25.2,protein-coding,/
CWITA013743,TCMBANKGE013743,ABCB4,ABC21; GBD1; MDR2; MDR2/3; MDR3; PFICN3; PGY3,"ATP-binding cassette, sub-family B (MDR/TAP), member 4",7q21.1,protein-coding,
CWITA013744,TCMBANKGE013744,RALGAPB,KIAA1219; RalGAPbeta,Ral GTPase activating protein non-catalytic subunit beta,20q11.23,protein-coding,/
CWITA013745,TCMBANKGE013745,SLC25A28,MFRN2; MRS3/4; MRS4L; NPD016,solute carrier family 25 member 28,10q24.2,protein-coding,/
CWITA013746,TCMBANKGE013746,E2F4,E2F-4,E2F transcription factor 4,16q22.1,protein-coding,/
CWITA013747,TCMBANKGE013747,ADAM22,ADAM 22; EIEE61; MDC2,ADAM metallopeptidase domain 22,7q21.12,protein-coding,/
CWITA013748,TCMBANKGE013748,ARHGAP29,PARG1,Rho GTPase activating protein 29,1p22.1,protein-coding,/
CWITA013749,TCMBANKGE013749,TMEM116,-,transmembrane protein 116,12q24.12-q24.13,protein-coding,/
CWITA013750,TCMBANKGE013750,PIF1,C15orf20; PIF,PIF1 5'-to-3' DNA helicase,15q22.31,protein-coding,/
CWITA013751,TCMBANKGE013751,ZNF551,-,zinc finger protein 551,19q13.43,protein-coding,/
CWITA013752,TCMBANKGE013752,SPIN1,SPIN; TDRD24,spindlin 1,9q22.1,protein-coding,/
CWITA013753,TCMBANKGE013753,GSR,MGC78522,glutathione reductase,8p21.1,protein-coding,
CWITA013754,TCMBANKGE013754,TRH,Pro-TRH; TRF,thyrotropin releasing hormone,3q22.1,protein-coding,Clinical Trial target
CWITA013755,TCMBANKGE013755,ANKRD22,-,ankyrin repeat domain 22,10q23.31,protein-coding,/
CWITA013756,TCMBANKGE013756,UGGT2,HUGT2; UGCGL2; UGT2,UDP-glucose glycoprotein glucosyltransferase 2,13q32.1,protein-coding,/
CWITA013757,TCMBANKGE013757,LIPT2,-,lipoyl(octanoyl) transferase 2,11q13.4,protein-coding,/
CWITA013758,TCMBANKGE013758,KRTAP5-3,KRTAP5N/A9; KRTAP5.3,Keratin_Associated_Protein_5-3,11p15.5,protein-coding,
CWITA013759,TCMBANKGE013759,EML4,C2orf2; ELP120; EMAP-4; EMAPL4; ROPP120,EMAP like 4,2p21,protein-coding,Research target
CWITA013760,TCMBANKGE013760,SERPINA3,AACT; ACT; GIG24; GIG25,serpin family A member 3,14q32.13,protein-coding,/
CWITA013761,TCMBANKGE013761,DDB2,DDBB; UV-DDB2; XPE,damage specific DNA binding protein 2,11p11.2,protein-coding,/
CWITA013762,TCMBANKGE013762,ERCC6,ARMD5; CKN2; COFS; COFS1; CSB; CSB-PGBD3; POF11; RAD26; UVSS1,"ERCC excision repair 6, chromatin remodeling factor",10q11.23,protein-coding,/
CWITA013763,TCMBANKGE013763,SPRYD7,C13orf1; CLLD6,SPRY domain containing 7,13q14.2,protein-coding,/
CWITA013764,TCMBANKGE013764,LAMB1,CLM; LIS5,laminin subunit beta 1,7q31.1,protein-coding,/
CWITA013765,TCMBANKGE013765,CDH17,CDH16; HPT-1; HPT1,cadherin 17,8q22.1,protein-coding,/
CWITA013766,TCMBANKGE013766,ESRRB,DFNB35; ERR2; ERRb; ESRL2; NR3B2,estrogen-related receptor beta,14q24.3,protein-coding,
CWITA013767,TCMBANKGE013767,CBSL,CBS,cystathionine beta-synthase like,21p12,protein-coding,/
CWITA013768,TCMBANKGE013768,TNFSF13B,BAFF; BLYS; CD257; DTL; TALLN1; TALL1; THANK; TNFSF20; ZTNF4,"tumor necrosis factor (ligand) superfamily, member 13b",13q32-q34,protein-coding,
CWITA013769,TCMBANKGE013769,SLIT2,SLIL3; Slit-2,slit guidance ligand 2,4p15.31,protein-coding,/
CWITA013770,TCMBANKGE013770,TOM1L1,SRCASM,target of myb1 like 1 membrane trafficking protein,17q22,protein-coding,/
CWITA013771,TCMBANKGE013771,FBXL20,Fbl2; Fbl20,F-box and leucine rich repeat protein 20,17q12,protein-coding,/
CWITA013772,TCMBANKGE013772,CRCT1,C1orf42; NICE-1; NICE1,cysteine rich C-terminal 1,1q21.3,protein-coding,/
CWITA013773,TCMBANKGE013773,KIAA0513,-,KIAA0513,16q24.1,protein-coding,/
CWITA013774,TCMBANKGE013774,RAB3C,-,"RAB3C, member RAS oncogene family",5q11.2,protein-coding,/
CWITA013775,TCMBANKGE013775,FAT2,CDHF8; CDHR9; HFAT2; MEGF1; SCA45,FAT atypical cadherin 2,5q33.1,protein-coding,/
CWITA013776,TCMBANKGE013776,HDAC4,AHO3; BDMR; HA6116; HD4; HDACNA; HDACA; KIAA0288,histone deacetylase 4,2q37.3,protein-coding,
CWITA013777,TCMBANKGE013777,SLURP1,ANUP; ARS; ArsB; LY6-MT; LY6LS; MDM,secreted LY6/PLAUR domain containing 1,8q24.3,protein-coding,/
CWITA013778,TCMBANKGE013778,ADSSL1,FLJ38602,adenylosuccinate synthase like 1,14q32.33,protein-coding,
CWITA013779,TCMBANKGE013779,SERPINB1,EI; ELANH2; HEL-S-27; HEL57; LEI; M/NEI; MNEI; PI-2; PI2,serpin family B member 1,6p25.2,protein-coding,/
CWITA013780,TCMBANKGE013780,TUBA1A,BNALPHAN1; FLJ25113; LIS3; TUBA3,"tubulin, alpha 1a",12q13.12,protein-coding,
CWITA013781,TCMBANKGE013781,EFEMP2,ARCL1B; FBLN4; MBP1; UPH1,EGF containing fibulin extracellular matrix protein 2,11q13.1,protein-coding,/
CWITA013782,TCMBANKGE013782,LTBP2,C14orf141; GLC3D; LTBP3; MSPKA; MSTP031; WMS3,latent transforming growth factor beta binding protein 2,14q24.3,protein-coding,/
CWITA013783,TCMBANKGE013783,MGST3,GSTNIII,microsomal glutathione S-transferase 3,1q23,protein-coding,
CWITA013784,TCMBANKGE013784,ACKR1,CCBP1; CD234; DARC; DARC/ACKR1; Dfy; FY; GPD; GpFy; WBCQ1,atypical chemokine receptor 1 (Duffy blood group),1q23.2,protein-coding,Successful target
CWITA013785,TCMBANKGE013785,CCDC68,SE57-1,coiled-coil domain containing 68,18q21.2,protein-coding,/
CWITA013786,TCMBANKGE013786,ASIC3,ACCN3; DRASIC; SLNAC1; TNaC1,acid sensing ion channel subunit 3,7q36.1,protein-coding,Research target
CWITA013787,TCMBANKGE013787,NOLC1,NOPP130; NOPP140; NS5ATP13; P130; Srp40,nucleolar and coiled-body phosphoprotein 1,10q24.32,protein-coding,/
CWITA013788,TCMBANKGE013788,POLK,DINB1; DINP; POLQ,polymerase (DNA directed) kappa,5q13,protein-coding,
CWITA013789,TCMBANKGE013789,MCCC1,MCC-B; MCCA,methylcrotonoyl-CoA carboxylase 1,3q27.1,protein-coding,/
CWITA013790,TCMBANKGE013790,BPTF,FAC1; FALZ; NEDDFL; NURF301,bromodomain PHD finger transcription factor,17q24.2,protein-coding,/
CWITA013791,TCMBANKGE013791,DHDDS,CIT; CPT; DEDSM; DS; HDS; RP59; hCIT,dehydrodolichyl diphosphate synthase subunit,1p36.11,protein-coding,/
CWITA013792,TCMBANKGE013792,CTR9,SH2BP1; TSBP; p150; p150TSP,"CTR9 homolog, Paf1/RNA polymerase II complex component",11p15.4,protein-coding,/
CWITA013793,TCMBANKGE013793,NUDT8,-,nudix hydrolase 8,11q13.2,protein-coding,/
CWITA013794,TCMBANKGE013794,CMAS,CSS,cytidine monophosphate N-acetylneuraminic acid synthetase,12p12.1,protein-coding,/
CWITA013795,TCMBANKGE013795,SP140,LYSP100; LYSP100-A; LYSP100-B,SP140 nuclear body protein,2q37.1,protein-coding,/
CWITA013796,TCMBANKGE013796,HMGXB4,HMG2L1; HMGBCG; THC211630,HMG-box containing 4,22q12.3,protein-coding,/
CWITA013797,TCMBANKGE013797,Akr1c12,AI266976; Akra,"aldo-keto reductase family 1, member C12",13|13 A1,protein-coding,/
CWITA013798,TCMBANKGE013798,MT1B,MT-1B; MT-IB; MT1; MT1Q; MTP,metallothionein 1B,16q13,protein-coding,/
CWITA013799,TCMBANKGE013799,BAG2,BAG-2; dJ417I1.2,BAG cochaperone 2,6p12.1,protein-coding,/
CWITA013800,TCMBANKGE013800,EPG5,HEEW1; KIAA1632; VICIS,ectopic P-granules autophagy protein 5 homolog,18q12.3-q21.1,protein-coding,/
CWITA013801,TCMBANKGE013801,KCNC1,FLJ41162; FLJ42249; FLJ43491; KV3.1; KV4; MGC129855; NGK2,"potassium voltage-gated channel, Shaw-related subfamily, member 1",11p15,protein-coding,
CWITA013802,TCMBANKGE013802,SRPRB,APMCF1; SR-beta,SRP receptor subunit beta,3q22.1,protein-coding,/
CWITA013803,TCMBANKGE013803,PCLO,ACZ; PCH3,piccolo presynaptic cytomatrix protein,7q21.11,protein-coding,/
CWITA013804,TCMBANKGE013804,PLA2G10,GXPLA2; GXSPLA2; SPLA2; sPLA2-X,phospholipase A2 group X,16p13.12,protein-coding,/
CWITA013805,TCMBANKGE013805,PPCDC,FLJ14585,phosphopantothenoylcysteine decarboxylase,15q24.2,protein-coding,
CWITA013806,TCMBANKGE013806,LAMA5,-,laminin subunit alpha 5,20q13.33,protein-coding,/
CWITA013807,TCMBANKGE013807,ATP6AP2,APT6M8-9; ATP6IP2; ATP6M8-9; CDG2R; ELDF10; HT028; M8-9; MRXE; MRXSH; MSTP009; PRR; RENR; XMRE; XPDS,ATPase H+ transporting accessory protein 2,Xp11.4,protein-coding,/
CWITA013808,TCMBANKGE013808,DCP1B,DCP1,decapping mRNA 1B,12p13.33,protein-coding,/
CWITA013809,TCMBANKGE013809,TUBA1A,B-ALPHA-1; LIS3; TUBA3,tubulin alpha 1a,12q13.12,protein-coding,/
CWITA013810,TCMBANKGE013810,BOK,BCL2L9; BOKL,BCL2 family apoptosis regulator BOK,2q37.3,protein-coding,/
CWITA013811,TCMBANKGE013811,MRPS14,COXPD38; DJ262D12.2; HSMRPS14; MRP-S14; S14mt,mitochondrial ribosomal protein S14,1q25.1,protein-coding,/
CWITA013812,TCMBANKGE013812,POLQ,PRO0327,DNA polymerase theta,3q13.33,protein-coding,/
CWITA013813,TCMBANKGE013813,FZR1,CDC20C; CDH1; FZR; FZR2; HCDH; HCDH1,fizzy and cell division cycle 20 related 1,19p13.3,protein-coding,/
CWITA013814,TCMBANKGE013814,TIMM8B,DDP2; TIM8B,translocase of inner mitochondrial membrane 8 homolog B,11q23.1,protein-coding,/
CWITA013815,TCMBANKGE013815,ETV1,ER81,ETS variant transcription factor 1,7p21.2,protein-coding,/
CWITA013816,TCMBANKGE013816,AP2M1,AP50; CLAPM1; MRD60; mu2,adaptor related protein complex 2 subunit mu 1,3q27.1,protein-coding,/
CWITA013817,TCMBANKGE013817,MTCO2P12,COII; COX2; COXII; MT-CO2; MTCO2,Mt-Co2_Pseudogene_12,1p36.33,pseudo,
CWITA013818,TCMBANKGE013818,ITGB7,-,integrin subunit beta 7,12q13.13,protein-coding,Successful target
CWITA013819,TCMBANKGE013819,PMCH,MCH; ppMCH,pro-melanin concentrating hormone,12q23.2,protein-coding,/
CWITA013820,TCMBANKGE013820,RNASE2,EDN; RAF3; RNS2,ribonuclease A family member 2,14q11.2,protein-coding,/
CWITA013821,TCMBANKGE013821,NAA20,NAT3; NAT3P; NAT5; NAT5P; dJ1002M8.1,"N-alpha-acetyltransferase 20, NatB catalytic subunit",20p11.23,protein-coding,/
CWITA013822,TCMBANKGE013822,SMC1B,SMC1BETA; SMC1L2,structural maintenance of chromosomes 1B,22q13.31,protein-coding,/
CWITA013823,TCMBANKGE013823,FGFR1,BFGFR; CD331; CEK; FGFBR; FGFRN1; FLG; FLJ99988; FLTN2; FLT2; HBGFR; KAL2; NNSAM; OGD; bFGFNRN1,fibroblast growth factor receptor 1,8p12,protein-coding,
CWITA013824,TCMBANKGE013824,LRRC25,MAPA,leucine rich repeat containing 25,19p13.11,protein-coding,/
CWITA013825,TCMBANKGE013825,CBFB,PEBP2B,core-binding factor subunit beta,16q22.1,protein-coding,/
CWITA013826,TCMBANKGE013826,DRD5,DBDR; DRD1B; DRD1L2,dopamine receptor D5,4p16.1,protein-coding,Successful target
CWITA013827,TCMBANKGE013827,ZNF264,-,zinc finger protein 264,19q13.43,protein-coding,/
CWITA013828,TCMBANKGE013828,APLN,APEL; XNPEP2,apelin,Xq26.1,protein-coding,Research target
CWITA013829,TCMBANKGE013829,CETN2,CALT; CEN2,centrin 2,Xq28,protein-coding,/
CWITA013830,TCMBANKGE013830,PRPF8,HPRP8; PRP8; PRPC8; RP13; SNRNP220,pre-mRNA processing factor 8,17p13.3,protein-coding,/
CWITA013831,TCMBANKGE013831,NMI,-,N-myc and STAT interactor,2q23.3,protein-coding,/
CWITA013832,TCMBANKGE013832,AP3D1,ADTD; HPS10; hBLVR,adaptor related protein complex 3 subunit delta 1,19p13.3,protein-coding,/
CWITA013833,TCMBANKGE013833,RPS6KB2,KLS; P70-beta; P70-beta-1; P70-beta-2; S6K-beta2; S6K2; S6KB; S6KI(2); S6Kbeta; SRK; STK14B; p70(S6K)-beta; p70S6Kb,ribosomal protein S6 kinase B2,11q13.2,protein-coding,/
CWITA013834,TCMBANKGE013834,MGEA5,FLJ11229; FLJ23355; KIAA0679; MEA5; NCOAT; OGA,meningioma expressed antigen 5 (hyaluronidase),10q24.1-q24.3,protein-coding,
CWITA013835,TCMBANKGE013835,CENPO,CENP-O; ICEN-36; MCM21R,centromere protein O,2p23.3,protein-coding,/
CWITA013836,TCMBANKGE013836,JAZF1,TIP27; ZNF802,JAZF zinc finger 1,7p15.2-p15.1,protein-coding,/
CWITA013837,TCMBANKGE013837,CNGB3,ACHM1,cyclic nucleotide gated channel subunit beta 3,8q21.3,protein-coding,Research target
CWITA013838,TCMBANKGE013838,CLTC,CHC; CHC17; CLH-17; CLTCL2; Hc; MRD56,clathrin heavy chain,17q23.1,protein-coding,/
CWITA013839,TCMBANKGE013839,NDUFAF6,C8orf38; MC1DN17,NADH:ubiquinone oxidoreductase complex assembly factor 6,8q22.1,protein-coding,/
CWITA013840,TCMBANKGE013840,CORO2A,CLIPINB; IR10; WDR2,coronin 2A,9q22.33,protein-coding,/
CWITA013841,TCMBANKGE013841,HGF,DFNB39; FNTCF; HGFB; HPTA; SF,hepatocyte growth factor (hepapoietin A; scatter factor),7q21.1,protein-coding,
CWITA013842,TCMBANKGE013842,CNOT9,CAF40; CT129; RCD-1; RCD1; RQCD1,CCR4-NOT transcription complex subunit 9,2q35,protein-coding,/
CWITA013843,TCMBANKGE013843,ATP4B,ATP6B,ATPase H+/K+ transporting subunit beta,13q34,protein-coding,/
CWITA013844,TCMBANKGE013844,UBQLN1,DA41; DSK2; PLIC-1; UBQN; XDRP1,ubiquilin 1,9q21.32|9q21.2-q21.3,protein-coding,/
CWITA013845,TCMBANKGE013845,UGCG,GCS; GLCT1,UDP-glucose ceramide glucosyltransferase,9q31,protein-coding,
CWITA013846,TCMBANKGE013846,CYB561,CYB561A1; FRRS2; ORTHYP2,cytochrome b561,17q23.3,protein-coding,/
CWITA013847,TCMBANKGE013847,PGA4,-,pepsinogen A4,11q12.2,protein-coding,/
CWITA013848,TCMBANKGE013848,RPS5,S5,ribosomal protein S5,19q13.43,protein-coding,/
CWITA013849,TCMBANKGE013849,ANO2,C12orf3; TMEM16B,anoctamin 2,12p13.31,protein-coding,/
CWITA013850,TCMBANKGE013850,RAC1,MGC111543; TCN25; p21NRac1,"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)",7p22,protein-coding,
CWITA013851,TCMBANKGE013851,NSUN5,NOL1; NOL1R; NSUN5A; WBSCR20; WBSCR20A; p120; p120(NOL1),NOP2/Sun RNA methyltransferase 5,7q11.23,protein-coding,/
CWITA013852,TCMBANKGE013852,APOO,FAM121B; MIC26; MICOS26; Mic23; My025,apolipoprotein O,Xp22.11,protein-coding,/
CWITA013853,TCMBANKGE013853,PSMC4,MIP224; RPT3; S6; TBP-7; TBP7,"proteasome 26S subunit, ATPase 4",19q13.2,protein-coding,/
CWITA013854,TCMBANKGE013854,FBXO8,DC10; FBS; FBX8,F-box protein 8,4q34.1,protein-coding,/
CWITA013855,TCMBANKGE013855,GLRA3,N,"glycine receptor, alpha 3",4q33-q34,protein-coding,
CWITA013856,TCMBANKGE013856,FBXO41,FBX41,F-box protein 41,2p13.2,protein-coding,/
CWITA013857,TCMBANKGE013857,PMPCA,Alpha-MPP; CLA1; CPD3; INPP5E; P-55; SCAR2,"peptidase, mitochondrial processing subunit alpha",9q34.3,protein-coding,/
CWITA013858,TCMBANKGE013858,PITHD1,C1orf128; HT014; TXNL1CL,PITH domain containing 1,1p36.11,protein-coding,/
CWITA013859,TCMBANKGE013859,AGBL4,CCP6,ATP/GTP binding protein like 4,1p33,protein-coding,/
CWITA013860,TCMBANKGE013860,EDNRA,ET-A; ETA; ETA-R; ETAR; ETRA; MFDA; hET-AR,endothelin receptor type A,4q31.22-q31.23,protein-coding,Successful target
CWITA013861,TCMBANKGE013861,ZNF841,-,zinc finger protein 841,19q13.41,protein-coding,/
CWITA013862,TCMBANKGE013862,SMARCE1,BAF57; CSS5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",17q21.2,protein-coding,/
CWITA013863,TCMBANKGE013863,SLC13A5,EIEE25; INDY; NACT; mIndy,solute carrier family 13 member 5,17p13.1,protein-coding,Research target
CWITA013864,TCMBANKGE013864,DGKI,DGK-IOTA,diacylglycerol kinase iota,7q33,protein-coding,/
CWITA013865,TCMBANKGE013865,UBIAD1,SCCD; TERE1,UbiA prenyltransferase domain containing 1,1p36.22,protein-coding,/
CWITA013866,TCMBANKGE013866,JMJD1C,KDM3C; TRIP-8; TRIP8,jumonji domain containing 1C,10q21.3,protein-coding,Research target
CWITA013867,TCMBANKGE013867,SNX16,-,sorting nexin 16,8q21.13,protein-coding,/
CWITA013868,TCMBANKGE013868,DYM,DMC; SMC,dymeclin,18q21.1,protein-coding,/
CWITA013869,TCMBANKGE013869,SERPINB10,PI-10; PI10,serpin family B member 10,18q22.1,protein-coding,/
CWITA013870,TCMBANKGE013870,PNP,FLJ94043; FLJ97288; FLJ97312; MGC117396; MGC125915; MGC125916; NP; PRO1837; PUNP,purine nucleoside phosphorylase,14q13.1,protein-coding,
CWITA013871,TCMBANKGE013871,IFNA4,IFN-alpha4a; INFA4,interferon alpha 4,9p21.3,protein-coding,/
CWITA013872,TCMBANKGE013872,HSPG2,HSPG; PLC; PRCAN; SJA; SJS; SJS1,heparan sulfate proteoglycan 2,1p36.12,protein-coding,Discontinued target
CWITA013873,TCMBANKGE013873,OPRM1,KIAA0403; LMOR; MOR; MOR1; OPRM,"opioid receptor, mu 1",6q24-q25,protein-coding,
CWITA013874,TCMBANKGE013874,GHSR,GHDP,growth hormone secretagogue receptor,3q26.31,protein-coding,Successful target
CWITA013875,TCMBANKGE013875,ZNF555,-,zinc finger protein 555,19p13.3,protein-coding,/
CWITA013876,TCMBANKGE013876,FMNL3,FHOD3; FRL2; WBP-3; WBP3,formin like 3,12q13.12,protein-coding,/
CWITA013877,TCMBANKGE013877,LDHB,LDHNH; TRGN5,lactate dehydrogenase B,12p12.2-p12.1,protein-coding,
CWITA013878,TCMBANKGE013878,AFF4,AF5Q31; CHOPS; MCEF,AF4/FMR2 family member 4,5q31.1,protein-coding,/
CWITA013879,TCMBANKGE013879,ZFP37,ZNF906; zfp-37,ZFP37 zinc finger protein,9q32,protein-coding,/
CWITA013880,TCMBANKGE013880,ZIK1,ZNF762,zinc finger protein interacting with K protein 1,19q13.43,protein-coding,Research target
CWITA013881,TCMBANKGE013881,Braf-rs1,Braf,"Braf transforming gene, related sequence 1",-,other,/
CWITA013882,TCMBANKGE013882,TSTD1,KAT; TST,thiosulfate sulfurtransferase like domain containing 1,1q23.3,protein-coding,/
CWITA013883,TCMBANKGE013883,RIMKLA,FAM80A; NAAGS; NAAGS-II,ribosomal modification protein rimK like family member A,1p34.2,protein-coding,/
CWITA013884,TCMBANKGE013884,RMI1,BLAP75; C9orf76; FAAP75,RecQ mediated genome instability 1,9q21.32,protein-coding,/
CWITA013885,TCMBANKGE013885,PLA2G7,LDL-PLA2; LP-PLA2; PAFAD; PAFAH,phospholipase A2 group VII,6p12.3,protein-coding,Clinical Trial target
CWITA013886,TCMBANKGE013886,CSNK2A1,CK2A1; CKII; Cka1; Cka2; OCNDS,casein kinase 2 alpha 1,20p13,protein-coding,Clinical Trial target
CWITA013887,TCMBANKGE013887,COL5A2,EDSC; EDSCL2,collagen type V alpha 2 chain,2q32.2,protein-coding,/
CWITA013888,TCMBANKGE013888,SDHA,CMD1GG; FP; SDH1; SDH2; SDHF,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",5p15,protein-coding,
CWITA013889,TCMBANKGE013889,ANKRD65,-,ankyrin repeat domain 65,1p36.33,protein-coding,/
CWITA013890,TCMBANKGE013890,SCGN,CALBL; DJ501N12.8; SECRET; SEGN; setagin,"secretagogin, EF-hand calcium binding protein",6p22.2,protein-coding,/
CWITA013891,TCMBANKGE013891,GLS,AAD20; DKFZp686O15119; FLJ10358; GLS1; KIAA0838,glutaminase,2q32-q34,protein-coding,
CWITA013892,TCMBANKGE013892,TSHR,CHNG1; LGR3; hTSHR-I,thyroid stimulating hormone receptor,14q31.1,protein-coding,Successful target
CWITA013893,TCMBANKGE013893,IVL,-,involucrin,1q21.3,protein-coding,/
CWITA013894,TCMBANKGE013894,KAT6A,ARTHS; MOZ; MRD32; MYST-3; MYST3; RUNXBP2; ZC2HC6A; ZNF220,lysine acetyltransferase 6A,8p11.21,protein-coding,/
CWITA013895,TCMBANKGE013895,PDCD6IP,AIP1; ALIX; DRIP4; HP95,programmed cell death 6 interacting protein,3p22.3,protein-coding,/
CWITA013896,TCMBANKGE013896,MAP3K13,LZK; MEKK13; MLK,mitogen-activated protein kinase kinase kinase 13,3q27.2,protein-coding,/
CWITA013897,TCMBANKGE013897,ADGRL4,ELTD1; ETL; KPG_003,adhesion G protein-coupled receptor L4,1p31.1,protein-coding,/
CWITA013898,TCMBANKGE013898,Cd3e,AI504783; CD3; CD3epsilon; T3e,"CD3 antigen, epsilon polypeptide",9 A5.2|9 24.84 cM,protein-coding,
CWITA013899,TCMBANKGE013899,PCDHGA12,CDH21; FIB3; PCDH-GAMMA-A12,"protocadherin gamma subfamily A, 12",5q31.3,protein-coding,/
CWITA013900,TCMBANKGE013900,RFC4,A1; RFC37,replication factor C subunit 4,3q27.3,protein-coding,/
CWITA013901,TCMBANKGE013901,PRMT3,HRMT1L3,protein arginine methyltransferase 3,11p15.1,protein-coding,
